"item","definition","uni_lemma","type","IPA"
541,"hard","hard","word"," hˈɑr"
544,"kald","cold","word"," kˈɑll"
548,"liten","little (description)","word"," lˈiːtən"
549,"mørkt","dark","word"," mˈœrkt"
551,"ødelagt","broken","word"," ˈøːdeːlˌɑɡt"
553,"pen","pretty","word"," pˈeːn"
555,"redd","scared","word"," rˈɛdː"
556,"ren","clean (description)","word"," rˈeːn"
557,"rød","red","word"," rˈøːd"
562,"skitten","dirty","word"," ʃˈɪtːən"
563,"skjønn","beautiful","word"," ʃˈœn"
564,"slem","naughty","word"," ʃlˈɛm"
566,"søt","cute","word"," sˈøːt"
567,"søvnig","sleepy","word"," sˈœvnɪ"
570,"stor","big","word"," stˈuːr"
571,"sulten","hungry","word"," sˈʉltən"
574,"syk","sick","word"," sˈyːk"
575,"tom","empty","word"," tˈuːm"
576,"tørr","dry (description)","word"," tˈœrr"
577,"tørst","thirsty","word"," tˈœrʃt"
578,"trøtt","tired","word"," trˈœtː"
581,"varm","hot","word"," vˈɑrm"
582,"våt","wet (description)","word"," vˈoːt"
583,"vondt","hurt (description)","word"," vˈʊnnt"
584,"dag","day","word"," dˈaɡ"
590,"i dag","today","word"," iː dˈaɡ"
592,"i kveld","tonight","word"," iː kvˈɛll"
593,"i morgen","tomorrow","word"," iː mˈɔrɡən"
595,"morgen","morning","word"," mˈɔrɡən"
596,"nå","now","word"," nˈoː"
597,"natt","night","word"," nˈɑtː"
598,"senere","later","word"," sˈeːneːra"
604,"den","the","word"," dˈeːn"
605,"denne","this","word"," dˈɛnna"
608,"det","it","word"," dˈeː"
609,"dette","this","word"," dˈɛtːa"
610,"din","your","word"," dˈiːn"
612,"du","you","word"," dˈʉː"
615,"hans","his","word"," hˈɑns"
617,"hennes","her","word"," hˈɛnnəs"
620,"jeg","i","word"," jˈɛːɪ"
622,"meg","me","word"," mˈeːɡ"
624,"min","my","word"," mˈiːn"
631,"hva","what","word"," vˈɑ"
632,"hvem","who","word"," vˈɛm"
634,"hvor","where (question)","word"," vˈuːr"
635,"hvordan","how","word"," vˈɔrdan"
636,"hvorfor","why","word"," vˈɔrfuːr"
637,"når","when (question)","word"," nˈoːr"
638,"av","off","word"," ˈav"
639,"bak","back (location)","word"," bˈak"
640,"bort","away","word"," bˈʊrt"
642,"der","there","word"," dˈɛːr"
653,"i","in","word"," ˈiː"
655,"inn","inside","word"," ˈɪn"
656,"inne","inside","word"," ˈɪnna"
657,"inni","inside","word"," ˈɪnniː"
660,"ned","down","word"," nˈeːd"
661,"nede","down","word"," nˈeːda"
664,"opp","up","word"," ˈɔpː"
666,"oppe","up","word"," ˈɔpːa"
669,"på","on","word"," pˈoː"
672,"under","under","word"," ˈʉnnər"
673,"ut","out","word"," ˈʉːt"
674,"ute","out","word"," ˈʉːta"
679,"alle","all","word"," ˈɑlla"
686,"en annen","another","word"," eːn ˈɑnnən"
690,"ikke","not","word"," ˈɪkːa"
691,"ingen","none","word"," ˈɪŋən"
692,"ingenting","nothing","word"," ˈɪŋəntˌɪŋ"
695,"mer","more","word"," mˈeːr"
697,"noe","some","word"," nˈʊːa"
698,"noen","any","word"," nˈʊːən"
700,"samme","same","word"," sˈɑmma"
