"item","definition","uni_lemma","type","IPA"
580,"mene","me","word"," mˈɛnɛ"
581,"meni","me","word"," mˈɛnɪ"
583,"moj","my","word"," mˈoj"
589,"njegov","his","word"," ɲˈeɡov"
590,"njemu","him","word"," ɲˈemʊ"
591,"njezin","her","word"," ɲˈezɪn"
601,"ono","that","word"," ˈono"
603,"ovo","this","word"," ˈovo"
610,"ti","you","word"," tˈi"
611,"tvoj","your","word"," tvˈoj"
612,"gdje","where (question)","word"," ɡdjˈe"
613,"kada","when (question)","word"," kˈadæ"
614,"kako","how","word"," kˈako"
616,"što","what","word"," ʃtˈo"
617,"tko","who","word"," tkˈo"
618,"zašto","why","word"," zˈaʃto"
620,"dolje","down","word"," dˈoʎe"
621,"gore","up","word"," ɡˈorɛ"
622,"ispod","under","word"," ˈispod"
623,"ispred","in front","word"," ˈispɾɛd"
624,"iza","back (location)","word"," ˈizæ"
626,"na","on","word"," nˈa"
630,"o","about","word"," ˈo"
639,"tamo","there","word"," tˈamo"
640,"tu","here","word"," tˈu"
641,"unutra","in","word"," ˈunʊtɾæ"
643,"vani","out","word"," vˈanɪ"
647,"drugi","another","word"," dɾˈuɡɪ"
650,"još","more","word"," jˈoʃ"
651,"malo","little (amount)","word"," mˈalo"
655,"ništa","none","word"," nˈiʃtæ"
658,"puno","many","word"," pˈuno"
660,"sve","all","word"," svˈɛ"
661,"više","more","word"," vˈiʃɛ"
667,"bio","was","word"," bˈɪo"
