"item","definition","uni_lemma","type","IPA"
442,"subir(se)","climb","word"," suβˈiɾ sˈe"
444,"tener","have","word"," tenˈɛɾ"
446,"tirar","throw","word"," tiɾˈaɾ"
447,"tocar","touch","word"," tokˈaɾ"
448,"tomar(se)","take","word"," tomˈaɾ sˈe"
451,"ver(se)","see","word"," βˈɛɾ sˈe"
452,"acabar","finish","word"," ˌakaβˈaɾ"
459,"apagar","turn off","word"," ˌapaɣˈaɾ"
460,"apurar(se)","hurry","word"," ˌapuɾˈaɾ sˈe"
463,"aventar","throw","word"," ˌaβɛntˈaɾ"
464,"ayudar","help","word"," ˌaʝuðˈaɾ"
465,"bailar","dance","word"," βaɪlˈaɾ"
469,"brincar","jump","word"," bɾinkˈaɾ"
472,"caer(se)","fall","word"," kaˈɛɾ sˈe"
474,"caminar","walk","word"," kˌaminˈaɾ"
475,"cantar","sing","word"," kantˈaɾ"
477,"cenar","eat dinner","word"," θenˈaɾ"
478,"cerrar","close","word"," θɛrˈaɾ"
480,"comer(se)","eat","word"," komˈɛɾ sˈe"
482,"correr","run","word"," kɔrˈɛɾ"
484,"dar","give","word"," ðˈaɾ"
485,"decir","say","word"," ðeθˈiɾ"
486,"desayunar","eat breakfast","word"," ðˌesaʝunˈaɾ"
487,"dibujar","draw","word"," ðˌiβuxˈaɾ"
488,"doler","hurt (action)","word"," ðolˈɛɾ"
489,"dormir(se)","sleep","word"," ðɔrmˈiɾ sˈe"
490,"empujar","push","word"," ˌɛmpuxˈaɾ"
492,"enseñar","show","word"," ˌɛnseɲˈaɾ"
496,"escribir","write","word"," ˌɛskɾiβˈiɾ"
498,"esperar(se)","wait","word"," ˌɛspɛɾˈaɾ sˈe"
503,"abrir","open (action)","word"," aβɾˈiɾ"
504,"estar","be","word"," ɛstˈaɾ"
506,"ser","be","word"," sˈɛɾ"
508,"amarillo","yellow","word"," ˌamaɾˈiʝo"
509,"azul","blue","word"," aθˈul"
511,"bonita","pretty","word"," βonˈita"
513,"caliente","hot","word"," kˌaliˈɛnte"
514,"cansado","tired","word"," kansˈaðo"
516,"chico","little (description)","word"," tʃˈiko"
520,"diferente","different","word"," ðˌifɛɾˈɛnte"
521,"difícil","hard","word"," ðifˈiθil"
523,"enfermo","sick","word"," ɛmfˈɛrmo"
524,"enojado","angry","word"," ˌenoxˈaðo"
526,"feo","ugly","word"," fˈeo"
528,"frío","cold","word"," fɾˈio"
529,"fuchi","yucky","word"," fˈutʃi"
532,"grande","big","word"," ɡɾˈande"
533,"guapo","cute","word"," ɣwˈapo"
534,"hambre","hungry","word"," ˈambɾe"
535,"igual","same","word"," iɣwˈal"
538,"limpio","clean (description)","word"," lˈimpjo"
540,"lleno","full","word"," ʝˈeno"
541,"malo","bad","word"," mˈalo"
543,"miedo","scared","word"," mjˈeðo"
547,"nuevo","new","word"," nwˈeβo"
548,"oscuro","dark","word"," ɔskˈuɾɔ"
551,"pesado","heavy","word"," pesˈaðo"
555,"rojo","red","word"," rˈoxo"
557,"roto","broken","word"," rˈoto"
560,"suave","soft","word"," swˈaβe"
561,"sucio","dirty","word"," sˈuθjo"
565,"triste","sad","word"," tɾˈiste"
567,"vacío","empty","word"," βaθˈio"
568,"verde","green","word"," βˈɛrde"
569,"viejo","old","word"," bjˈexo"
570,"ahorita","now","word"," ˌaɔɾˈita"
573,"ayer","yesterday","word"," aʝˈɛɾ"
574,"después","after","word"," ðɛspwˈɛs"
575,"día","day","word"," ðˈia"
579,"hoy","today","word"," ˈoɪ"
580,"mañana","tomorrow","word"," maɲˈana"
581,"noche","night","word"," nˈotʃe"
582,"aquel","that","word"," akˈɛl"
583,"aquella","that","word"," akˈɛʝa"
586,"él","he","word"," ˈɛl"
587,"ella","her","word"," ˈɛʝa"
588,"ellas","they","word"," ˈɛʝas"
589,"ellos","they","word"," ˈɛʝos"
590,"esa","that","word"," ˈesa"
591,"esas","those","word"," ˈesas"
592,"ese","that","word"," ˈese"
593,"eso","that","word"," ˈeso"
594,"esos","those","word"," ˈesos"
595,"ésta","this","word"," ˈɛsta"
596,"éstas","these","word"," ˈɛstas"
597,"éste","this","word"," ˈɛste"
598,"esto","this","word"," ˈɛsto"
599,"éstos","these","word"," ˈɛstos"
600,"le","it","word"," lˈe"
601,"les","them","word"," lˈes"
602,"lo","him","word"," lˈo"
603,"me","me","word"," mˈe"
605,"mía","mine","word"," mˈia"
606,"mías","mine","word"," mˈias"
607,"mío","mine","word"," mˈio"
608,"míos","mine","word"," mˈios"
611,"se","self","word"," sˈe"
612,"su","his","word"," sˈu"
619,"tú","you","word"," tˈu"
620,"tuya","your","word"," tˈuʝa"
621,"tuyas","your","word"," tˈuʝas"
622,"tuyo","your","word"," tˈuʝo"
623,"tuyos","your","word"," tˈuʝos"
624,"yo","i","word"," ʝˈo"
625,"cómo","how","word"," kˈɔmo"
626,"cuál","which (question)","word"," kwˈal"
628,"dónde","where (question)","word"," ðˈɔnde"
629,"por qué","why","word"," pɔɾ kˈɛ"
630,"qué","what","word"," kˈɛ"
631,"quién","who","word"," kʝˈɛn"
651,"más","more","word"," mˈas"
652,"mucho","a lot","word"," mˈutʃo"
653,"nada","nothing","word"," nˈaða"
655,"no hay","none","word"," no ˈaɪ"
656,"otro","again","word"," ˈɔtɾo"
660,"todo","all","word"," tˈoðo"
661,"ya","already","word"," ʝˈa"
662,"abajo","down","word"," aβˈaxo"
663,"adentro","inside","word"," aðˈɛntɾo"
664,"afuera","out","word"," afwˈɛɾa"
665,"ahí","there","word"," aˈi"
668,"aquí","here","word"," akˈi"
669,"arriba","up","word"," arˈiβa"
670,"atrás","back (location)","word"," atɾˈas"
672,"encima","on","word"," ɛnθˈima"
