"item","definition","uni_lemma","type","IPA"
253,"tissue","tissue","word"," tˈɪʃuː"
254,"toothbrush","toothbrush","word"," tˈuːθbɹʌʃ"
255,"towel","towel","word"," tˈaʊəL"
256,"trash","trash","word"," tɹˈæʃ"
257,"tray","tray","word"," tɹˈeɪ"
258,"vacuum","vacuum","word"," vˈækjuːm"
259,"walker","walker","word"," wˈɔːkɚ"
260,"watch","watch (object)","word"," wˈɑːtʃ"
261,"basement","basement","word"," bˈeɪsmənt"
262,"bathroom","bathroom","word"," bˈæθɹuːm"
263,"bathtub","bathtub","word"," bˈæθtʌb"
264,"bed","bed","word"," bˈɛd"
265,"bedroom","bedroom","word"," bˈɛdɹuːm"
266,"bench","bench","word"," bˈɛntʃ"
267,"chair","chair","word"," tʃˈɛɹ"
268,"closet","closet","word"," klˈɑːzɪt"
269,"couch","couch","word"," kˈaʊtʃ"
270,"crib","crib","word"," kɹˈɪb"
271,"door","door","word"," dˈoːɹ"
272,"drawer","drawer","word"," dɹˈɔːɹ"
273,"dryer","dryer","word"," dɹˈaɪɚ"
274,"garage","garage","word"," ɡɐɹˈɑːʒ"
275,"high chair","high chair","word"," hˈaɪ tʃˈɛɹ"
276,"kitchen","kitchen","word"," kˈɪtʃən"
277,"living room","living room","word"," lˈɪvɪŋ ɹˈuːm"
278,"oven","oven","word"," ˈʌvən"
279,"play pen","play pen","word"," plˈeɪ pˈɛn"
280,"porch","porch","word"," pˈɔːɹtʃ"
281,"potty","potty","word"," pˈɑːɾi"
282,"rocking chair","rocking chair","word"," ɹˈɑːkɪŋ tʃˈɛɹ"
283,"refrigerator","refrigerator","word"," ɹɪfɹˈɪdʒɚɹˌeɪɾɚ"
284,"room","room","word"," ɹˈuːm"
285,"shower","shower","word"," ʃˈaʊɚ"
286,"sink","sink","word"," sˈɪŋk"
287,"sofa","sofa","word"," sˈoʊfə"
288,"stairs","stairs","word"," stˈɛɹz"
289,"stove","stove","word"," stˈoʊv"
290,"table","table","word"," tˈeɪbəL"
291,"TV","tv","word"," tˌiːvˈiː"
292,"window","window","word"," wˈɪndoʊ"
293,"washing machine","washing machine","word"," wˈɑːʃɪŋ məʃˈiːn"
294,"backyard","yard","word"," bˈækjɑːɹd"
295,"cloud","cloud","word"," klˈaʊd"
296,"flag","flag","word"," flˈæɡ"
297,"flower","flower","word"," flˈaʊɚ"
298,"garden","garden","word"," ɡˈɑːɹdən"
299,"grass","grass","word"," ɡɹˈæs"
300,"hose","hose","word"," hˈoʊz"
301,"ladder","ladder","word"," lˈædɚ"
302,"lawn mower","lawn mower","word"," lˈɔːn mˈoʊɚ"
303,"moon","moon","word"," mˈuːn"
304,"pool","pool","word"," pˈuːl"
305,"rain","rain","word"," ɹˈeɪn"
306,"rock","rock (object)","word"," ɹˈɑːk"
307,"roof","roof","word"," ɹˈuːf"
308,"sandbox","sandbox","word"," sˈændbɑːks"
309,"shovel","shovel","word"," ʃˈʌvəL"
310,"sidewalk","sidewalk","word"," sˈaɪdwɔːk"
311,"sky","sky","word"," skˈaɪ"
312,"slide","slide (object)","word"," slˈaɪd"
313,"snow","snow","word"," snˈoʊ"
314,"snowman","snowman","word"," snˈoʊmən"
315,"sprinkler","sprinkler","word"," spɹˈɪŋklɚ"
